Product Name,Price,Brand,Category,Description,Rating,Review Count,Style Attributes,Total Sizes,Available Sizes,Color,Purchase History,Age,Fashion Magazines,Fashion Influencers,Season,Time Period Highest Purchase,Customer Reviews,Social Media Comments,feedback
U5D1,46.81316769417089,Alexander McQueen,Accessories,Very Bad,3.7224153979844834,298,Formal,"S, M, L",L,Green,Low,29,Fashionista,Kendall Jenner,Fall,Holiday,Unknown,Positive,Positive
R5N3,95.72779580656216,Mulberry,Accessories,Not Good,4.564476905328551,334,Minimalist,"S, M, L",M,Green,Low,51,Marie Claire,Olivia Palermo,Summer,Daytime,Neutral,Other,Neutral
T4O2,11.228954873757145,Jigsaw,Accessories,Good,4.748675281407263,28,Minimalist,"M, L, XL",M,Blue,High,36,Marie Claire,Olivia Palermo,Winter,Evening,Unknown,Mixed,Mixed
R8J5,64.64599391664014,Ted Baker,Accessories,Good,4.605949726553202,8,Bohemian,"S, L, XL",M,Red,Very High,28,Harper's Bazaar,Song of Style,Spring,Daytime,Unknown,Neutral,Unknown
R8V8,50.003690597910115,Tommy Hilfiger,Swimwear,Very Bad,2.266029081248689,369,Streetwear,"S, M, L",XL,Red,Very High,55,Cosmopolitan,Negin Mirsalehi,Fall/Winter,Weekend,Negative,Negative,Positive
S8H7,68.12098556580816,Alexander McQueen,Bottoms,Very Good,1.766100490059868,480,Vintage,"S, M, L",M,Red,Average,46,Grazia,Kendall Jenner,Spring/Summer,Holiday,Unknown,Unknown,Negative
Z3S1,19.27238812349978,Tommy Hilfiger,Jewelry,Bad,1.8089417810241422,333,Casual,"S, M, L",L,Black,Negligible,60,Harper's Bazaar,Kendall Jenner,Fall/Winter,Evening,Mixed,Other,Positive
N8B0,17.761785286696355,Tommy Hilfiger,Swimwear,Best,1.9276025408654678,20,Bohemian,"M, L, XL",XL,Black,Above Average,34,Grazia,Leandra Medine,Fall,Weekend,Unknown,Positive,Neutral
I8L2,57.25758814564862,Calvin Klein,Bottoms,Very Good,4.7598237785087765,198,Bohemian,"M, L, XL",M,Green,Low,60,Cosmopolitan,Aimee Song,Spring,Weekend,Positive,Neutral,Mixed
O2W4,55.2280555604632,Jigsaw,Tops,Not Good,1.1356784695630964,1,Glamorous,"S, M, L",S,Blue,Medium,19,Glamour,Song of Style,Fall,Daytime,Mixed,Neutral,Neutral
B7H6,82.04277360632668,Mulberry,Accessories,Good,3.204082671902732,79,Bohemian,"M, L, XL",XL,Black,Low,42,Glamour,Chiara Ferragni,Summer,Nighttime,Unknown,Positive,Unknown
P2S2,64.53415236879404,Mulberry,Tops,Worst,1.9297786876640837,102,Minimalist,"M, L, XL",XL,Blue,Below Average,38,Grazia,Chiara Ferragni,Spring,Holiday,Mixed,Negative,Other
W5X8,24.676095958796203,Tommy Hilfiger,Accessories,Best,1.5755366712632206,423,Preppy,"S, L, XL",XL,Blue,Below Average,58,Harper's Bazaar,Negin Mirsalehi,Fall/Winter,Daytime,Neutral,Neutral,Neutral
G9Q3,47.20714942173851,Ralph Lauren,Tops,Very Bad,2.2691908367396874,73,Streetwear,"S, M, L",L,Red,Average,61,Elle,Gigi Hadid,Summer,Daytime,Neutral,Other,Positive
T0D0,28.73095189775574,Tommy Hilfiger,Dresses,Not Good,3.577430332962282,462,Casual,"S, L, XL",XL,Green,Negligible,21,Cosmopolitan,Kendall Jenner,Fall/Winter,Nighttime,Neutral,Mixed,Unknown
Z7O8,96.43290817867535,Ralph Lauren,Jewelry,Not Good,1.3722193527437434,17,Casual,"S, M, L",L,Blue,Average,41,Grazia,Aimee Song,Fall,Evening,Unknown,Unknown,Other
F3C7,80.25583039583691,Ted Baker,Lingerie,Good,3.257243048974952,279,Casual,"S, M, L",S,Black,Low,22,Harper's Bazaar,Gigi Hadid,Winter,Evening,Unknown,Unknown,Negative
K7A3,32.96098243989494,Burberry,Lingerie,Best,2.431037188727432,175,Streetwear,"S, M, L",L,Red,Average,43,Glamour,Chiara Ferragni,Spring/Summer,Nighttime,Negative,Negative,Other
K9Y9,76.37694669340382,Ralph Lauren,Outerwear,Worst,3.09233423511792,418,Glamorous,"M, L, XL",XL,Blue,Medium,30,Fashionista,Gigi Hadid,Spring/Summer,Weekend,Positive,Mixed,Mixed
R8U6,43.43469580657242,Ted Baker,Footwear,Not Good,2.3221960669065855,196,Vintage,"S, M, L",L,Red,High,30,Vogue,Camila Coelho,Fall/Winter,Weekend,Negative,Unknown,Unknown
B6B8,97.7061575778685,Burberry,Footwear,Bad,1.5097891705494595,294,Formal,"S, L, XL",XL,Blue,Above Average,32,Marie Claire,Olivia Palermo,Spring,Nighttime,Mixed,Negative,Mixed
N5K2,20.325844611397606,Mulberry,Activewear,Very Bad,4.416047129952371,383,Edgy,"M, L, XL",XL,Blue,Negligible,40,Elle,Negin Mirsalehi,Summer,Weekend,Neutral,Unknown,Other
K2N8,28.161279942213483,Jigsaw,Tops,Worst,4.839103558822044,155,Minimalist,"S, M, L",XL,Blue,Significant,33,Fashionista,Chiara Ferragni,Fall,Evening,Positive,Mixed,Mixed
W3I5,78.40466183337612,Tommy Hilfiger,Outerwear,Bad,4.149176078314661,490,Casual,"M, L, XL",M,Green,Above Average,55,W,Gigi Hadid,Summer,Weekend,Neutral,Positive,Unknown
Q9J5,59.291506742163136,Tommy Hilfiger,Activewear,Good,2.8862039409254843,244,Formal,"S, L, XL",S,Green,Above Average,40,Grazia,Gigi Hadid,Spring/Summer,Daytime,Neutral,Unknown,Neutral
M7D8,18.284540821422837,Burberry,Lingerie,Good,2.7831510835197517,9,Glamorous,"S, M, L",L,Green,Medium,57,Fashionista,Leandra Medine,Spring,Nighttime,Mixed,Other,Other
V7M1,65.60053611236356,Burberry,Dresses,Very Good,1.060963072385567,336,Minimalist,"S, M, L",M,Green,Average,53,Glamour,Aimee Song,Winter,Evening,Neutral,Positive,Other
H5V2,67.01881288731357,Tommy Hilfiger,Outerwear,Bad,1.4257185225345697,490,Streetwear,"S, L, XL",S,Green,Low,21,Grazia,Aimee Song,Summer,Nighttime,Neutral,Neutral,Other
B5R6,73.50550764193201,Mulberry,Dresses,Very Bad,4.588372416321759,220,Vintage,"M, L, XL",XL,Red,Medium,49,Marie Claire,Aimee Song,Winter,Weekend,Unknown,Neutral,Other
P8I6,40.84687415866563,Mulberry,Bottoms,Not Good,1.3483402378438174,33,Minimalist,"S, M, L",M,Green,High,61,Harper's Bazaar,Gigi Hadid,Spring/Summer,Weekend,Positive,Other,Other
J2F6,68.18469316510232,Ralph Lauren,Activewear,Very Bad,4.451216401687617,393,Vintage,"S, M, L",L,Black,Above Average,28,Vogue,Song of Style,Fall/Winter,Holiday,Neutral,Positive,Other
R3T2,15.354420536134949,Calvin Klein,Lingerie,Good,3.915156172472717,199,Minimalist,"M, L, XL",S,Green,Above Average,43,Elle,Julie Sari̱ana,Winter,Evening,Unknown,Unknown,Negative
N6X1,12.208580703704579,Calvin Klein,Swimwear,Very Good,2.4271332667689096,385,Edgy,"S, M, L",L,Blue,High,32,InStyle,Julie Sari̱ana,Winter,Daytime,Mixed,Unknown,Other
V8P4,74.3535784615338,Burberry,Outerwear,Very Bad,2.1477305853220816,375,Casual,"S, L, XL",M,Red,Very Low,49,W,Leandra Medine,Spring,Daytime,Positive,Positive,Mixed
Q1Z4,23.762373805776452,Ralph Lauren,Outerwear,Bad,4.188650597898317,292,Minimalist,"S, L, XL",M,Blue,High,29,Fashionista,Negin Mirsalehi,Winter,Daytime,Neutral,Other,Other
H8E1,38.76072515937711,Mulberry,Footwear,Good,2.2923840799567383,349,Vintage,"S, L, XL",XL,Black,Above Average,27,W,Olivia Palermo,Winter,Daytime,Neutral,Positive,Other
X6E5,22.956414811913156,Jigsaw,Lingerie,Very Bad,1.566964015568173,448,Bohemian,"M, L, XL",L,Black,Negligible,18,Marie Claire,Camila Coelho,Summer,Evening,Negative,Negative,Positive
N7R2,31.104071981099437,Alexander McQueen,Dresses,Bad,3.002779754037694,79,Vintage,"S, M, L",S,Green,Very Low,34,Grazia,Negin Mirsalehi,Fall,Evening,Negative,Neutral,Mixed
G3T6,74.99821281194164,Jigsaw,Dresses,Very Bad,2.2549081362969785,378,Formal,"S, M, L",XL,Blue,High,28,Marie Claire,Julie Sari̱ana,Summer,Weekend,Positive,Mixed,Negative
Y1E2,60.236486665542444,Burberry,Dresses,Bad,3.86641177425636,363,Glamorous,"S, L, XL",S,Red,Negligible,41,Cosmopolitan,Song of Style,Fall/Winter,Weekend,Neutral,Neutral,Mixed
R9H3,94.46251136927859,Calvin Klein,Lingerie,Bad,2.177462253334649,28,Preppy,"S, M, L",S,Green,Very High,55,Grazia,Gigi Hadid,Fall/Winter,Weekend,Positive,Other,Mixed
P1G7,70.90902167488181,Calvin Klein,Lingerie,Very Bad,2.156597165548956,267,Sporty,"S, L, XL",M,Red,Below Average,45,Cosmopolitan,Julie Sari̱ana,Spring/Summer,Holiday,Positive,Neutral,Positive
M0P8,72.8586392224663,Jigsaw,Bottoms,Very Good,1.1589795734479171,313,Vintage,"S, L, XL",XL,Green,Low,39,Glamour,Negin Mirsalehi,Fall/Winter,Nighttime,Negative,Unknown,Negative
R1F9,15.55409896963561,Burberry,Accessories,Worst,3.1182305582949024,440,Casual,"S, M, L",S,Green,Below Average,55,Marie Claire,Chiara Ferragni,Winter,Nighttime,Negative,Unknown,Negative
B1S9,85.9943590611313,Alexander McQueen,Dresses,Very Bad,1.4847164925911471,342,Vintage,"M, L, XL",M,Red,Very Low,28,Fashionista,Camila Coelho,Spring/Summer,Weekend,Positive,Negative,Other
Y5J4,56.72690323799894,Alexander McQueen,Activewear,Best,1.5019672877429118,376,Streetwear,"S, M, L",S,Red,Significant,47,Elle,Song of Style,Spring/Summer,Evening,Positive,Positive,Other
J6D6,13.232905381621825,Ralph Lauren,Dresses,Worst,3.60459151775361,406,Preppy,"S, M, L",XL,Black,Negligible,33,Glamour,Olivia Palermo,Winter,Nighttime,Positive,Positive,Positive
P4P9,92.43011814463748,Tommy Hilfiger,Bottoms,Good,1.6297987199052155,166,Sporty,"M, L, XL",L,Green,Very Low,60,Vogue,Chiara Ferragni,Fall,Holiday,Negative,Neutral,Other
I8F0,86.15417898909148,Ted Baker,Activewear,Good,3.4521782512282346,444,Preppy,"S, M, L",S,Red,Very High,61,Grazia,Camila Coelho,Summer,Nighttime,Negative,Mixed,Positive
U6N5,84.19113569929821,Tommy Hilfiger,Bottoms,Good,2.495969750900101,19,Bohemian,"S, M, L",L,Green,Below Average,30,Elle,Julie Sari̱ana,Fall,Evening,Negative,Unknown,Positive
V6E4,61.75162209320108,Jigsaw,Outerwear,Good,4.044180634349866,209,Preppy,"M, L, XL",L,Blue,Significant,31,Fashionista,Olivia Palermo,Fall/Winter,Weekend,Positive,Other,Positive
P5M0,76.16008846853993,Calvin Klein,Lingerie,Very Bad,4.455356970951572,146,Vintage,"S, L, XL",M,Black,Very Low,35,Fashionista,Aimee Song,Winter,Weekend,Neutral,Mixed,Positive
V2K4,84.40444128381095,Calvin Klein,Footwear,Very Bad,3.6024559839895094,459,Edgy,"S, M, L",S,Black,Low,27,Fashionista,Aimee Song,Spring,Holiday,Positive,Positive,Other
G7K7,16.622510440947778,Ted Baker,Swimwear,Worst,2.6975902315016733,333,Vintage,"S, L, XL",S,Blue,High,53,Grazia,Olivia Palermo,Winter,Holiday,Negative,Negative,Other
N0K2,29.803774024837,Jigsaw,Activewear,Bad,4.039190715910517,300,Edgy,"S, L, XL",L,Blue,Very High,46,Cosmopolitan,Gigi Hadid,Winter,Evening,Negative,Other,Unknown
Y1H4,69.7182937306612,Ted Baker,Jewelry,Worst,1.7855790976790296,365,Preppy,"S, M, L",M,Green,Very Low,22,Grazia,Song of Style,Spring,Daytime,Mixed,Other,Positive
H4E1,85.99713849986516,Ralph Lauren,Footwear,Good,3.8835436401418395,165,Vintage,"M, L, XL",M,Green,Negligible,37,Harper's Bazaar,Leandra Medine,Fall,Weekend,Positive,Unknown,Negative
H5I6,41.712572924856765,Alexander McQueen,Bottoms,Very Good,2.7346463011171953,453,Streetwear,"S, L, XL",S,Black,Below Average,21,Harper's Bazaar,Leandra Medine,Fall/Winter,Holiday,Neutral,Other,Other
D1D8,30.19187340313473,Tommy Hilfiger,Accessories,Bad,3.544268212864215,96,Edgy,"S, L, XL",M,Red,Negligible,57,Cosmopolitan,Negin Mirsalehi,Spring,Weekend,Unknown,Neutral,Mixed
K0E6,88.679994904061,Tommy Hilfiger,Activewear,Bad,4.409270530116768,189,Sporty,"M, L, XL",S,Green,Low,29,W,Chiara Ferragni,Spring/Summer,Nighttime,Positive,Positive,Other
X5B7,95.87652866626702,Calvin Klein,Lingerie,Very Good,2.6758425564724297,310,Streetwear,"S, M, L",XL,Green,Very High,59,Grazia,Song of Style,Fall/Winter,Holiday,Positive,Positive,Mixed
J9R8,99.85570926244893,Tommy Hilfiger,Footwear,Very Good,4.666429855086252,31,Minimalist,"M, L, XL",M,Green,Significant,51,Fashionista,Gigi Hadid,Winter,Weekend,Neutral,Other,Neutral
C6E7,70.98289236268428,Burberry,Footwear,Worst,2.0640383470983936,451,Vintage,"S, L, XL",XL,Blue,Below Average,55,Elle,Camila Coelho,Winter,Nighttime,Mixed,Mixed,Mixed
I7O9,63.91356215706693,Calvin Klein,Lingerie,Very Bad,3.1052326546539755,257,Preppy,"S, L, XL",XL,Green,Below Average,62,Marie Claire,Aimee Song,Spring/Summer,Evening,Neutral,Neutral,Positive
E9X5,85.52251391447894,Ted Baker,Bottoms,Bad,3.7010521184579876,3,Formal,"S, M, L",XL,Green,High,40,W,Gigi Hadid,Summer,Holiday,Positive,Mixed,Positive
F7Z2,53.25799270019694,Alexander McQueen,Tops,Best,2.578063317491767,424,Streetwear,"S, L, XL",S,Green,Low,18,Grazia,Gigi Hadid,Spring,Daytime,Mixed,Neutral,Positive
X4Z6,34.514619999595936,Ted Baker,Activewear,Good,1.0595106978368745,63,Preppy,"M, L, XL",XL,Green,Negligible,26,Grazia,Negin Mirsalehi,Fall,Nighttime,Mixed,Positive,Positive
R9T6,85.80479920135554,Mulberry,Jewelry,Worst,1.7841388508774063,98,Preppy,"M, L, XL",M,Blue,Average,37,Grazia,Kendall Jenner,Spring/Summer,Weekend,Mixed,Negative,Positive
R4Z5,32.36506276425407,Mulberry,Bottoms,Very Good,4.116289187004661,373,Sporty,"M, L, XL",S,Green,Above Average,38,Elle,Leandra Medine,Summer,Weekend,Mixed,Unknown,Unknown
Z7P4,59.50402984879993,Ralph Lauren,Bottoms,Bad,2.4797617540486576,383,Vintage,"M, L, XL",M,Green,Significant,36,Elle,Julie Sari̱ana,Winter,Holiday,Mixed,Positive,Negative
S3R7,91.28965839406386,Alexander McQueen,Outerwear,Not Good,3.2555713263745125,345,Casual,"S, M, L",S,Blue,Very High,39,Grazia,Chiara Ferragni,Fall/Winter,Weekend,Neutral,Neutral,Neutral
H2Q8,67.61216136947078,Jigsaw,Activewear,Good,3.4902831895987303,245,Sporty,"S, M, L",S,Black,High,62,InStyle,Chiara Ferragni,Fall/Winter,Evening,Mixed,Unknown,Other
R0W6,25.215533869987933,Ralph Lauren,Footwear,Worst,1.6270214495730322,0,Streetwear,"S, M, L",XL,Black,Average,29,Glamour,Leandra Medine,Summer,Evening,Neutral,Other,Positive
V7H6,81.41466305811632,Ralph Lauren,Dresses,Best,3.0721274161305527,217,Vintage,"M, L, XL",S,Green,Very High,29,Harper's Bazaar,Song of Style,Winter,Nighttime,Mixed,Positive,Other
U3E2,82.39595098796465,Calvin Klein,Dresses,Bad,2.8814051656607518,111,Preppy,"S, M, L",L,Red,Very High,50,Glamour,Julie Sari̱ana,Fall/Winter,Daytime,Negative,Neutral,Positive
F5E2,37.86430956710963,Ted Baker,Activewear,Very Bad,1.3151979330791579,25,Casual,"S, M, L",S,Green,Medium,38,Fashionista,Kendall Jenner,Fall/Winter,Nighttime,Unknown,Other,Neutral
H6K7,24.94028089519533,Calvin Klein,Dresses,Not Good,1.332050120875376,245,Preppy,"M, L, XL",L,Red,Very High,59,W,Camila Coelho,Summer,Evening,Neutral,Negative,Neutral
P3I3,44.35236015595958,Mulberry,Tops,Worst,2.1294370389915773,288,Vintage,"M, L, XL",M,Black,High,42,Fashionista,Olivia Palermo,Winter,Daytime,Unknown,Mixed,Mixed
R4B4,89.22424409035196,Jigsaw,Lingerie,Best,4.36472383343488,311,Formal,"S, M, L",S,Red,Low,32,Marie Claire,Camila Coelho,Summer,Evening,Negative,Neutral,Neutral
C6T0,92.04931092689266,Mulberry,Dresses,Worst,3.351565739054236,242,Preppy,"M, L, XL",M,Black,Above Average,60,Glamour,Aimee Song,Winter,Evening,Neutral,Mixed,Unknown
I9S2,35.9393533334567,Calvin Klein,Tops,Very Bad,4.52266241438536,213,Bohemian,"S, M, L",M,Red,Significant,25,Cosmopolitan,Negin Mirsalehi,Winter,Daytime,Negative,Neutral,Neutral
G3T5,48.906339017514576,Tommy Hilfiger,Tops,Bad,1.5091025750714469,464,Streetwear,"S, M, L",XL,Black,Below Average,50,Cosmopolitan,Camila Coelho,Fall,Weekend,Negative,Neutral,Neutral
Q7D9,35.60714969846046,Ted Baker,Tops,Not Good,3.29596467786884,280,Streetwear,"S, L, XL",M,Green,Very Low,48,Grazia,Kendall Jenner,Spring/Summer,Evening,Neutral,Neutral,Positive
D9Y5,53.4567277960193,Ralph Lauren,Lingerie,Worst,4.788534977632296,403,Bohemian,"M, L, XL",M,Green,High,32,Vogue,Negin Mirsalehi,Winter,Holiday,Unknown,Unknown,Negative
F4P1,19.756444243333682,Burberry,Activewear,Worst,1.4233891474401568,238,Sporty,"M, L, XL",XL,Green,Above Average,49,Glamour,Julie Sari̱ana,Spring/Summer,Evening,Neutral,Neutral,Negative
G1O2,85.81817896144285,Mulberry,Activewear,Good,1.4915661708029986,8,Casual,"S, L, XL",XL,Blue,Low,41,Fashionista,Chiara Ferragni,Fall/Winter,Holiday,Mixed,Unknown,Positive
U4A3,80.55814034260541,Alexander McQueen,Outerwear,Best,2.931827663645599,62,Casual,"M, L, XL",L,Green,Average,58,Glamour,Negin Mirsalehi,Winter,Holiday,Mixed,Positive,Other
T6D8,33.475232029786646,Burberry,Dresses,Very Good,3.3302654275309203,403,Preppy,"S, L, XL",S,Green,Medium,41,Grazia,Song of Style,Fall,Evening,Positive,Neutral,Mixed
Z6V1,35.05494802648729,Calvin Klein,Jewelry,Not Good,4.005756919271601,151,Formal,"S, L, XL",XL,Blue,Low,20,Grazia,Gigi Hadid,Fall/Winter,Evening,Negative,Mixed,Unknown
Z6Z3,82.31998753259285,Mulberry,Accessories,Worst,4.9300138957013715,266,Preppy,"M, L, XL",M,Green,High,34,InStyle,Aimee Song,Spring,Nighttime,Unknown,Negative,Other
F2K2,56.65477106855968,Ralph Lauren,Swimwear,Very Bad,1.5927976119648033,414,Sporty,"S, L, XL",S,Red,Below Average,28,Harper's Bazaar,Gigi Hadid,Spring,Daytime,Negative,Neutral,Positive
P2F2,81.70977450961087,Mulberry,Footwear,Bad,2.682270635723385,57,Casual,"S, L, XL",S,Blue,Average,54,W,Leandra Medine,Spring/Summer,Holiday,Mixed,Positive,Unknown
O7G1,42.85534643764377,Ted Baker,Activewear,Good,3.7005932360326548,46,Streetwear,"S, L, XL",S,Green,Low,45,Harper's Bazaar,Gigi Hadid,Fall/Winter,Daytime,Neutral,Unknown,Unknown
H6V9,76.91778347551269,Alexander McQueen,Accessories,Bad,3.9625048988556086,426,Casual,"S, M, L",M,Blue,Average,25,Cosmopolitan,Kendall Jenner,Spring/Summer,Weekend,Positive,Unknown,Unknown
Z9V4,63.01223212985236,Tommy Hilfiger,Footwear,Very Good,2.4114076590270845,383,Glamorous,"M, L, XL",L,Green,Average,45,Elle,Olivia Palermo,Summer,Holiday,Mixed,Positive,Other
W3T3,91.57025566622782,Ralph Lauren,Bottoms,Worst,4.380592966723857,350,Glamorous,"S, M, L",M,Red,Very Low,19,Fashionista,Camila Coelho,Winter,Holiday,Neutral,Positive,Negative
M7V1,15.842456147286265,Ralph Lauren,Dresses,Not Good,2.936335392599226,301,Formal,"M, L, XL",XL,Blue,Above Average,20,Elle,Song of Style,Fall,Nighttime,Mixed,Negative,Neutral
J1M6,57.59706152387576,Alexander McQueen,Accessories,Very Bad,3.4124256082753686,425,Edgy,"S, L, XL",S,Red,Medium,23,InStyle,Song of Style,Winter,Nighttime,Neutral,Mixed,Neutral
R9Y7,93.1977965284772,Alexander McQueen,Footwear,Not Good,2.6963256648588376,116,Casual,"S, L, XL",L,Red,Average,49,Glamour,Aimee Song,Winter,Nighttime,Positive,Positive,Other
U2J2,56.13538726869252,Alexander McQueen,Accessories,Not Good,1.582358715172505,217,Casual,"S, L, XL",M,Black,Above Average,63,Elle,Negin Mirsalehi,Spring/Summer,Weekend,Positive,Negative,Other
F1W3,37.7460903642221,Tommy Hilfiger,Dresses,Best,2.517234058006295,398,Glamorous,"S, L, XL",L,Black,Negligible,55,Cosmopolitan,Kendall Jenner,Summer,Evening,Neutral,Negative,Positive
Y6T8,60.7182087569535,Alexander McQueen,Accessories,Best,2.3305784845933104,250,Edgy,"M, L, XL",M,Black,Average,50,Elle,Gigi Hadid,Spring,Holiday,Unknown,Mixed,Other
I4Q2,25.54668582055863,Calvin Klein,Outerwear,Good,2.727319996188659,419,Minimalist,"S, L, XL",L,Red,High,43,Vogue,Gigi Hadid,Spring/Summer,Holiday,Unknown,Mixed,Unknown
T8A7,10.65559906931398,Alexander McQueen,Activewear,Best,3.4519890282795536,497,Sporty,"S, L, XL",S,Blue,Low,57,Fashionista,Kendall Jenner,Fall,Nighttime,Negative,Positive,Other
K9A6,36.6453997930209,Ralph Lauren,Activewear,Good,2.9003477956107293,487,Sporty,"S, M, L",S,Blue,Very Low,32,Cosmopolitan,Song of Style,Fall,Weekend,Neutral,Neutral,Positive
